0,19,transition : prérequis,#ffde00
19,256,prérequis 1,#ffde00
377,31,transition : hypothèses,#ffa200
408,192,hypothèse 1,#ffa200
600,93,hypothèse 2,#ffa200
693,79,transition : protocole,#f30279
772,416,planification,#f30279
1188,65,nombre de boîtes,#f30279
1253,2,comptage,#f30279
1255,2,densité cellulaire,#f30279
1257,32,taille des boîtes,#f30279
1289,412,ensemencement,#f30279
1701,4,transition : expérience,#0028D5
1705,20,transition : résultats,#aa00d5
1725,73,comptages,#aa00d5
1798,19,correction courbe croissance,#aa00d5
1817,86,proportion des phases,#aa00d5
1903,4,transition : synthèse,#0028d5
1907,46,synthèse,#0028d5
