0,33,transition : prérequis,#ffde00
33,169,prérequis 1,#ffde00
202,188,prerequis 2,#ffde00
390,25,transition : hypothèses,#ffa200
415,25,hypothèse 1,#ffa200
440,96,hypothèse 2,#ffa200
536,38,transition : protocole,#f30279
574,418,planification,#f30279
992,174,nombre de boîtes,#f30279
1166,4,densite cellulaire,#f30279
1170,25,nombre de cellule par boite/taille boîtes,#f30279
1195,109,ensencement,#f30279
1304,634,changement de milieu,#f30279
1938,32,transition : expérience,#0028D5
1970,31,transition : résultats,#aa00d5
2001,30,profils de cytométrie,#aa00d5
2031,74,chekpoint influancé par la privation,#aa00d5
2105,38,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
2143,3,transition : synthèse,#0028d5
2146,124,synthèse,#0028d5
